rep	trial	male	female	cross	eggs	tank	femlen	malelen	day	rank
1	1	mA	fA	1mAfA	0	5	39	35	1	1
1	2	mA	fA	1mAfA	2	5	39	35	7	1
1	3	mA	fA	1mAfA	0	5	39	35	10	1
1	1	mB	fA	1mBfA	0	3	39	36	3	2
1	2	mB	fA	1mBfA	4	3	39	36	5	2
1	3	mB	fA	1mBfA	14	3	39	36	9	2
1	1	mC	fA	1mCfA	0	2	39	34	4	3
1	2	mC	fA	1mCfA	349	2	39	34	8	3
1	3	mC	fA	1mCfA	322	2	39	34	12	3
1	1	mD	fA	1mDfA	647	1	39	32	2	4
1	2	mD	fA	1mDfA	0	1	39	32	6	4
1	3	mD	fA	1mDfA	0	1	39	32	11	4
1	1	mA	fB	1mAfB	0	5	40	35	2	1
1	2	mA	fB	1mAfB	108	5	40	35	6	1
1	3	mA	fB	1mAfB	0	5	40	35	12	1
1	1	mB	fB	1mBfB	367	3	40	36	4	2
1	2	mB	fB	1mBfB	219	3	40	36	7	2
1	3	mB	fB	1mBfB	190	3	40	36	11	2
1	1	mC	fB	1mCfB	3	2	40	34	3	3
1	2	mC	fB	1mCfB	0	2	40	34	5	3
1	3	mC	fB	1mCfB	238	2	40	34	9	3
1	1	mD	fB	1mDfB	394	1	40	32	1	4
1	2	mD	fB	1mDfB	0	1	40	32	8	4
1	3	mD	fB	1mDfB	0	1	40	32	10	4
1	1	mA	fC	1mAfC	357	5	40	35	4	1
1	2	mA	fC	1mAfC	9	5	40	35	5	1
1	3	mA	fC	1mAfC	0	5	40	35	11	1
1	1	mB	fC	1mBfC	0	3	40	36	1	2
1	2	mB	fC	1mBfC	1	3	40	36	8	2
1	3	mB	fC	1mBfC	356	3	40	36	12	2
1	1	mC	fC	1mCfC	311	2	40	34	2	3
1	2	mC	fC	1mCfC	306	2	40	34	6	3
1	3	mC	fC	1mCfC	0	2	40	34	10	3
1	1	mD	fC	1mDfC	70	1	40	32	3	4
1	2	mD	fC	1mDfC	5	1	40	32	7	4
1	3	mD	fC	1mDfC	341	1	40	32	9	4
1	1	mA	fD	1mAfD	0	5	36	35	3	1
1	2	mA	fD	1mAfD	194	5	36	35	8	1
1	3	mA	fD	1mAfD	5	5	36	35	9	1
1	1	mB	fD	1mBfD	202	3	36	36	2	2
1	2	mB	fD	1mBfD	277	3	36	36	6	2
1	3	mB	fD	1mBfD	246	3	36	36	10	2
